task_id,minute_id,annotation_id,start_xpath,end_xpath,text,reference_type,external_identifier,external_url,document_type,referenced_annotation_id,start_char,end_char,sentence,paragraph
13,h-tk-20072008-2932-2933,JIRKk29k-y,/div[2]/div[5]/p[2]/text()[1],/div[2]/div[5]/p[2]/text()[1],dit nader gewijzigde amendement,impl-local,31226-33,,,9AnXZiXHEl,1211,1242,"Ik constateer dat dit nader gewijzigde amendement met algemene stemmen is aangenomen.","Ik constateer dat dit nader gewijzigde amendement met algemene stemmen
is aangenomen."
13,h-tk-20072008-2932-2933,B_8YMFZElc,/div[2]/div[5]/p[3]/text()[1],/div[2]/div[5]/p[3]/text()[1],dit nader gewijzigde amendement,impl-local,31226-33,,,9AnXZiXHEl,1317,1348,"Ik stel vast dat door de aanneming van dit nader gewijzigde amendement het andere op stuk nr. 33 voorkomende nader gewijzigde amendement als aangenomen kan worden beschouwd.","Ik stel vast dat door de aanneming van dit nader gewijzigde amendement
het andere op stuk nr. 33 voorkomende nader gewijzigde amendement als aangenomen
kan worden beschouwd."
13,h-tk-20072008-2932-2933,sIuBJgcI6d,/div[2]/div[5]/p[3]/text()[1],/div[2]/div[5]/p[3]/text()[1],andere op stuk nr. 33,explicit-parl-doc,kst-31226-33,https://zoek.officielebekendmakingen.nl/kst-31226-33.html,Amendement,,1353,1374,"Ik stel vast dat door de aanneming van dit nader gewijzigde amendement het andere op stuk nr. 33 voorkomende nader gewijzigde amendement als aangenomen kan worden beschouwd.","Ik stel vast dat door de aanneming van dit nader gewijzigde amendement
het andere op stuk nr. 33 voorkomende nader gewijzigde amendement als aangenomen
kan worden beschouwd."
13,h-tk-20072008-2932-2933,W9JbMV4czj,/div[2]/div[6]/p[1]/text()[1],/div[2]/div[6]/p[1]/text()[1],stuk nr. 20,explicit-parl-doc,kst-31226-33,https://zoek.officielebekendmakingen.nl/kst-31226-33.html,Amendement,,1492,1503,In stemming komt het amendement-Luijben (stuk nr. 20).,In stemming komt het amendement-Luijben (stuk nr. 20).
13,h-tk-20072008-2932-2933,E0C7JAEz11,/div[2]/div[7]/p[2]/text()[1],/div[2]/div[7]/p[2]/text()[1],dit amendement,impl-local,31226-33,,,W9JbMV4czj,1598,1612,"Ik constateer dat de aanwezige leden van de fracties van de SP en de PvdD voor dit amendement hebben gestemd en de aanwezige leden van de overige fracties ertegen, zodat het is verworpen.","Ik constateer dat de aanwezige leden van de fracties van de SP en de PvdD
voor dit amendement hebben gestemd en de aanwezige leden van de overige fracties
ertegen, zodat het is verworpen."
13,h-tk-20072008-2932-2933,lVklrC3Fli,/div[2]/div[7]/p[2]/text()[1],/div[2]/div[7]/p[2]/text()[1],het,impl-local,31226-33,,,W9JbMV4czj,1689,1692,"Ik constateer dat de aanwezige leden van de fracties van de SP en de PvdD voor dit amendement hebben gestemd en de aanwezige leden van de overige fracties ertegen, zodat het is verworpen.","Ik constateer dat de aanwezige leden van de fracties van de SP en de PvdD
voor dit amendement hebben gestemd en de aanwezige leden van de overige fracties
ertegen, zodat het is verworpen."
13,h-tk-20072008-2932-2933,S6WYI45bLK,/div[2]/div[8]/p[1]/text()[1],/div[2]/div[8]/p[1]/text()[1],stuk nr. 5,explicit-parl-doc,kst-31226-5,https://zoek.officielebekendmakingen.nl/kst-31226-5.html,Amendement,,1744,1754,In stemming komt het amendement-Blok (stuk nr. 5).,In stemming komt het amendement-Blok (stuk nr. 5).
13,h-tk-20072008-2932-2933,MoATtaBJBG,/div[2]/div[9]/p[2]/text()[1],/div[2]/div[9]/p[2]/text()[1],dit amendement,impl-local,31226-5,,,S6WYI45bLK,1871,1885,"Ik constateer dat de aanwezige leden van de fracties van D66, de VVD, de PVV en het lid Verdonk voor dit amendement hebben gestemd en de aanwezige leden van de overige fracties ertegen, zodat het is verworpen.","Ik constateer dat de aanwezige leden van de fracties van D66, de VVD,
de PVV en het lid Verdonk voor dit amendement hebben gestemd en de aanwezige
leden van de overige fracties ertegen, zodat het is verworpen."
13,h-tk-20072008-2932-2933,UD1sbjYKYG,/div[2]/div[9]/p[2]/text()[1],/div[2]/div[9]/p[2]/text()[1],het,impl-local,31226-5,,,S6WYI45bLK,1962,1965,"Ik constateer dat de aanwezige leden van de fracties van D66, de VVD, de PVV en het lid Verdonk voor dit amendement hebben gestemd en de aanwezige leden van de overige fracties ertegen, zodat het is verworpen.","Ik constateer dat de aanwezige leden van de fracties van D66, de VVD,
de PVV en het lid Verdonk voor dit amendement hebben gestemd en de aanwezige
leden van de overige fracties ertegen, zodat het is verworpen."
13,h-tk-20072008-2932-2933,AaCITgo60P,/div[2]/div[10]/p[1]/text()[1],/div[2]/div[10]/p[1]/text()[1],"stuk nr. 16, I",explicit-parl-doc,kst-31226-16,https://zoek.officielebekendmakingen.nl/kst-31226-16.html,Amendement,,2020,2034,"In stemming komt het amendement-Luijben (stuk nr. 16, I).","In stemming komt het amendement-Luijben (stuk nr. 16, I)."
13,h-tk-20072008-2932-2933,yelVZgU7mn,/div[2]/div[11]/p[2]/text()[1],/div[2]/div[11]/p[2]/text()[1],dit amendement,impl-local,31226-16,,,AaCITgo60P,2154,2168,"Ik constateer dat de aanwezige leden van de fracties van de SP, GroenLinks, D66, de PvdD en de PVV voor dit amendement hebben gestemd en de aanwezige leden van de overige fracties ertegen, zodat het is verworpen.","Ik constateer dat de aanwezige leden van de fracties van de SP, GroenLinks,
D66, de PvdD en de PVV voor dit amendement hebben gestemd en de aanwezige
leden van de overige fracties ertegen, zodat het is verworpen."
13,h-tk-20072008-2932-2933,8qVPXmJn4s,/div[2]/div[11]/p[2]/text()[1],/div[2]/div[11]/p[2]/text()[1],het,impl-local,31226-16,,,AaCITgo60P,2245,2248,"Ik constateer dat de aanwezige leden van de fracties van de SP, GroenLinks, D66, de PvdD en de PVV voor dit amendement hebben gestemd en de aanwezige leden van de overige fracties ertegen, zodat het is verworpen.","Ik constateer dat de aanwezige leden van de fracties van de SP, GroenLinks,
D66, de PvdD en de PVV voor dit amendement hebben gestemd en de aanwezige
leden van de overige fracties ertegen, zodat het is verworpen."
13,h-tk-20072008-2932-2933,7lG20lTmDc,/div[2]/div[11]/p[3]/text()[1],/div[2]/div[11]/p[3]/text()[1],dit amendement,impl-local,31226-16,,,AaCITgo60P,2302,2316,"Ik stel vast dat door de verwerping van dit amendement de overige op stuk nr. 16 voorkomende amendementen als verworpen kunnen worden beschouwd.","Ik stel vast dat door de verwerping van dit amendement de overige op stuk
nr. 16 voorkomende amendementen als verworpen kunnen worden beschouwd."
13,h-tk-20072008-2932-2933,BPa7JBrQFl,/div[2]/div[12]/p[1]/text()[1],/div[2]/div[12]/p[1]/text()[1],"stuk nr. 31, I",explicit-parl-doc,kst-31226-31, https://zoek.officielebekendmakingen.nl/kst-31226-31.html,Amendement,,2455,2469,"In stemming komt het gewijzigde amendement-Blok (stuk nr. 31, I).","In stemming komt het gewijzigde amendement-Blok (stuk nr. 31, I)."
13,h-tk-20072008-2932-2933,tZeCNE9mAM,/div[2]/div[13]/p[2]/text()[1],/div[2]/div[13]/p[2]/text()[1],dit gewijzigde amendement,impl-local,31226-31,,,BPa7JBrQFl,2622,2647,"Ik constateer dat de aanwezige leden van de fracties van de SP, GroenLinks, D66, de PvdD, de VVD, de SGP, de PVV en het lid Verdonk voor dit gewijzigde amendement hebben gestemd en de aanwezige leden van de overige fracties ertegen, zodat het is verworpen.","Ik constateer dat de aanwezige leden van de fracties van de SP, GroenLinks,
D66, de PvdD, de VVD, de SGP, de PVV en het lid Verdonk voor dit gewijzigde
amendement hebben gestemd en de aanwezige leden van de overige fracties ertegen,
zodat het is verworpen."
13,h-tk-20072008-2932-2933,J4NPXL8Iep,/div[2]/div[13]/p[2]/text()[1],/div[2]/div[13]/p[2]/text()[1],het,impl-local,31226-31,,,BPa7JBrQFl,2724,2727,"Ik constateer dat de aanwezige leden van de fracties van de SP, GroenLinks, D66, de PvdD, de VVD, de SGP, de PVV en het lid Verdonk voor dit gewijzigde amendement hebben gestemd en de aanwezige leden van de overige fracties ertegen, zodat het is verworpen.","Ik constateer dat de aanwezige leden van de fracties van de SP, GroenLinks,
D66, de PvdD, de VVD, de SGP, de PVV en het lid Verdonk voor dit gewijzigde
amendement hebben gestemd en de aanwezige leden van de overige fracties ertegen,
zodat het is verworpen."
13,h-tk-20072008-2932-2933,UMI0rT1gvR,/div[2]/div[13]/p[3]/text()[1],/div[2]/div[13]/p[3]/text()[1],dit gewijzigde amendement,impl-local,31226-31,,,BPa7JBrQFl,2781,2806,"Ik stel vast dat door de verwerping van dit gewijzigde amendement de overige op stuk nr. 31 voorkomende gewijzigde amendementen als verworpen kunnen worden beschouwd.","Ik stel vast dat door de verwerping van dit gewijzigde amendement de overige
op stuk nr. 31 voorkomende gewijzigde amendementen als verworpen kunnen worden
beschouwd."
13,h-tk-20072008-2932-2933,-tJw3eWOIE,/div[2]/div[14]/p[1]/text()[1],/div[2]/div[14]/p[1]/text()[1],"stuk nr. 32, I",explicit-parl-doc,kst-31226-32,  https://zoek.officielebekendmakingen.nl/kst-31226-32.html,Amendement,,2965,2979,"In stemming komt het gewijzigde amendement-Omtzigt/Hamer (stuk nr. 32, I).","In stemming komt het gewijzigde amendement-Omtzigt/Hamer (stuk nr. 32,
I)."
13,h-tk-20072008-2932-2933,S31QUxT4Jz,/div[2]/div[15]/p[2]/text()[1],/div[2]/div[15]/p[2]/text()[1],dit gewijzigde amendement,impl-local,31226-32,,,-tJw3eWOIE,3013,3038,Ik constateer dat dit gewijzigde amendement met algemene stemmen is aangenomen.,Ik constateer dat dit gewijzigde amendement met algemene stemmen is aangenomen.
13,h-tk-20072008-2932-2933,9e4vEaUY4F,/div[2]/div[15]/p[3]/text()[1],/div[2]/div[15]/p[3]/text()[1],dit gewijzigde amendement,impl-local,31226-32,,,-tJw3eWOIE,3113,3138,"Ik stel vast dat door de aanneming van dit gewijzigde amendement het andere op stuk nr. 32 voorkomende gewijzigde amendement als aangenomen kan worden beschouwd.","Ik stel vast dat door de aanneming van dit gewijzigde amendement het andere
op stuk nr. 32 voorkomende gewijzigde amendement als aangenomen kan worden
beschouwd."
13,h-tk-20072008-2932-2933,qChJFecHRA,/div[2]/div[15]/p[3]/text()[1],/div[2]/div[15]/p[3]/text()[1],het andere op stuk nr. 32 voorkomende gewijzigde amendement,explicit-parl-doc,kst-31226-32,https://zoek.officielebekendmakingen.nl/kst-31226-32.html,Amendement,,3139,3198,"Ik stel vast dat door de aanneming van dit gewijzigde amendement het andere op stuk nr. 32 voorkomende gewijzigde amendement als aangenomen kan worden beschouwd.","Ik stel vast dat door de aanneming van dit gewijzigde amendement het andere
op stuk nr. 32 voorkomende gewijzigde amendement als aangenomen kan worden
beschouwd."
13,h-tk-20072008-2932-2933,o0CD4le0au,/div[2]/div[16]/p[1]/text()[1],/div[2]/div[16]/p[1]/text()[1],"stuk nr. 24, I",explicit-parl-doc,kst-31226-24,  https://zoek.officielebekendmakingen.nl/kst-31226-24.html,Amendement,,3293,3307,"In stemming komt het gewijzigde amendement-Omtzigt/Hamer (stuk nr. 24, I).","In stemming komt het gewijzigde amendement-Omtzigt/Hamer (stuk nr. 24,
I)."
13,h-tk-20072008-2932-2933,SN0jM8el_8,/div[2]/div[17]/p[2]/text()[1],/div[2]/div[17]/p[2]/text()[1],dit amendement,impl-local,31226-24,,,o0CD4le0au,3393,3407,"Ik constateer dat de aanwezige leden van de fractie van de PvdD tegen dit amendement hebben gestemd en de aanwezige leden van de overige fracties ervoor, zodat het is aangenomen.","Ik constateer dat de aanwezige leden van de fractie van de PvdD tegen
dit amendement hebben gestemd en de aanwezige leden van de overige fracties
ervoor, zodat het is aangenomen."
13,h-tk-20072008-2932-2933,aE7ZHv45fQ,/div[2]/div[17]/p[2]/text()[1],/div[2]/div[17]/p[2]/text()[1],het,impl-local,31226-24,,,o0CD4le0au,3483,3486,"Ik constateer dat de aanwezige leden van de fractie van de PvdD tegen dit amendement hebben gestemd en de aanwezige leden van de overige fracties ervoor, zodat het is aangenomen.","Ik constateer dat de aanwezige leden van de fractie van de PvdD tegen
dit amendement hebben gestemd en de aanwezige leden van de overige fracties
ervoor, zodat het is aangenomen."
13,h-tk-20072008-2932-2933,9Edpze9EWc,/div[2]/div[17]/p[3]/text()[1],/div[2]/div[17]/p[3]/text()[1],dit gewijzigde amendement,impl-local,31226-24,,,o0CD4le0au,3540,3565,"Ik stel vast dat door de aanneming van dit gewijzigde amendement de overige op stuk nr. 24 voorkomende gewijzigde amendementen als aangenomen kunnen worden beschouwd.","Ik stel vast dat door de aanneming van dit gewijzigde amendement de overige
op stuk nr. 24 voorkomende gewijzigde amendementen als aangenomen kunnen worden
beschouwd."
13,h-tk-20072008-2932-2933,f2TDGwFNhm,/div[2]/div[18]/p[1]/text()[1],/div[2]/div[18]/p[1]/text()[1],"stuk nr. 17, I",explicit-parl-doc,kst-31226-17,https://zoek.officielebekendmakingen.nl/kst-31226-17.html,Amendement,,3714,3728,"In stemming komt het amendement-Omtzigt/Hamer (stuk nr. 17, I).","In stemming komt het amendement-Omtzigt/Hamer (stuk nr. 17, I)."
13,h-tk-20072008-2932-2933,jd2_XGjRJv,/div[2]/div[19]/p[2]/text()[1],/div[2]/div[19]/p[2]/text()[1],dit amendement,impl-local,31226-17,,,f2TDGwFNhm,3762,3776,Ik constateer dat dit amendement met algemene stemmen is aangenomen.,Ik constateer dat dit amendement met algemene stemmen is aangenomen.
13,h-tk-20072008-2932-2933,3_mVJjAcc9,/div[2]/div[19]/p[3]/text()[1],/div[2]/div[19]/p[3]/text()[1],dit amendement,impl-local,31226-17,,,f2TDGwFNhm,3851,3865,"Ik stel vast dat door de aanneming van dit amendement het andere op stuk nr. 17 voorkomende amendement als aangenomen kan worden beschouwd.","Ik stel vast dat door de aanneming van dit amendement het andere op stuk
nr. 17 voorkomende amendement als aangenomen kan worden beschouwd."
13,h-tk-20072008-2932-2933,6GeYtJ_VAB,/div[2]/div[19]/p[3]/text()[1],/div[2]/div[19]/p[3]/text()[1],het andere op stuk nr. 17 voorkomende amendement,explicit-parl-doc,kst-31226-17,https://zoek.officielebekendmakingen.nl/kst-31226-17.html,Amendement,,3866,3914,"Ik stel vast dat door de aanneming van dit amendement het andere op stuk nr. 17 voorkomende amendement als aangenomen kan worden beschouwd.","Ik stel vast dat door de aanneming van dit amendement het andere op stuk
nr. 17 voorkomende amendement als aangenomen kan worden beschouwd."
13,h-tk-20072008-2932-2933,8vDXtOfYbE,/div[2]/div[20]/p[1]/text()[1],/div[2]/div[20]/p[1]/text()[1],het wetsvoorstel,explicit-dossier,31226,,,,3968,3984,"In stemming komt het wetsvoorstel, zoals op onderdelen gewijzigd door de aanneming van de nader gewijzigde amendementen-Hamer/Omtzigt (stuk nrs. 33, I en II), de gewijzigde amendementen-Omtzigt/Hamer (stuk nrs. 32, I en II), de gewijzigde amendementen-Omtzigt/Hamer (stuk nrs. 24, I tot en met VI) en de gewijzigde amendementen-Omtzigt/Hamer (stuk nrs. 17, I en II).","In stemming komt het wetsvoorstel, zoals op onderdelen gewijzigd door
de aanneming van de nader gewijzigde amendementen-Hamer/Omtzigt (stuk nrs.
33, I en II), de gewijzigde amendementen-Omtzigt/Hamer (stuk nrs. 32, I en
II), de gewijzigde amendementen-Omtzigt/Hamer (stuk nrs. 24, I tot en met
VI) en de gewijzigde amendementen-Omtzigt/Hamer (stuk nrs. 17, I en II)."
13,h-tk-20072008-2932-2933,HXRDNwKKJp,/div[2]/div[20]/p[1]/text()[1],/div[2]/div[20]/p[1]/text()[1],"stuk nrs. 33, I en II",explicit-parl-doc,kst-31226-33,https://zoek.officielebekendmakingen.nl/kst-31226-33.html,Amendement,,4086,4107,"In stemming komt het wetsvoorstel, zoals op onderdelen gewijzigd door de aanneming van de nader gewijzigde amendementen-Hamer/Omtzigt (stuk nrs. 33, I en II), de gewijzigde amendementen-Omtzigt/Hamer (stuk nrs. 32, I en II), de gewijzigde amendementen-Omtzigt/Hamer (stuk nrs. 24, I tot en met VI) en de gewijzigde amendementen-Omtzigt/Hamer (stuk nrs. 17, I en II).","In stemming komt het wetsvoorstel, zoals op onderdelen gewijzigd door
de aanneming van de nader gewijzigde amendementen-Hamer/Omtzigt (stuk nrs.
33, I en II), de gewijzigde amendementen-Omtzigt/Hamer (stuk nrs. 32, I en
II), de gewijzigde amendementen-Omtzigt/Hamer (stuk nrs. 24, I tot en met
VI) en de gewijzigde amendementen-Omtzigt/Hamer (stuk nrs. 17, I en II)."
13,h-tk-20072008-2932-2933,IL2p38XybY,/div[2]/div[20]/p[1]/text()[1],/div[2]/div[20]/p[1]/text()[1],"stuk nrs. 32, I en II",explicit-parl-doc,kst-31226-32,https://zoek.officielebekendmakingen.nl/kst-31226-32.html,Amendement,,4152,4173,"In stemming komt het wetsvoorstel, zoals op onderdelen gewijzigd door de aanneming van de nader gewijzigde amendementen-Hamer/Omtzigt (stuk nrs. 33, I en II), de gewijzigde amendementen-Omtzigt/Hamer (stuk nrs. 32, I en II), de gewijzigde amendementen-Omtzigt/Hamer (stuk nrs. 24, I tot en met VI) en de gewijzigde amendementen-Omtzigt/Hamer (stuk nrs. 17, I en II).","In stemming komt het wetsvoorstel, zoals op onderdelen gewijzigd door
de aanneming van de nader gewijzigde amendementen-Hamer/Omtzigt (stuk nrs.
33, I en II), de gewijzigde amendementen-Omtzigt/Hamer (stuk nrs. 32, I en
II), de gewijzigde amendementen-Omtzigt/Hamer (stuk nrs. 24, I tot en met
VI) en de gewijzigde amendementen-Omtzigt/Hamer (stuk nrs. 17, I en II)."
13,h-tk-20072008-2932-2933,Eie6OB5ye5,/div[2]/div[20]/p[1]/text()[1],/div[2]/div[20]/p[1]/text()[1],"stuk nrs. 24, I tot en met VI",explicit-parl-doc,kst-31226-32, https://zoek.officielebekendmakingen.nl/kst-31226-32.html,Amendement,,4218,4247,"In stemming komt het wetsvoorstel, zoals op onderdelen gewijzigd door de aanneming van de nader gewijzigde amendementen-Hamer/Omtzigt (stuk nrs. 33, I en II), de gewijzigde amendementen-Omtzigt/Hamer (stuk nrs. 32, I en II), de gewijzigde amendementen-Omtzigt/Hamer (stuk nrs. 24, I tot en met VI) en de gewijzigde amendementen-Omtzigt/Hamer (stuk nrs. 17, I en II).","In stemming komt het wetsvoorstel, zoals op onderdelen gewijzigd door
de aanneming van de nader gewijzigde amendementen-Hamer/Omtzigt (stuk nrs.
33, I en II), de gewijzigde amendementen-Omtzigt/Hamer (stuk nrs. 32, I en
II), de gewijzigde amendementen-Omtzigt/Hamer (stuk nrs. 24, I tot en met
VI) en de gewijzigde amendementen-Omtzigt/Hamer (stuk nrs. 17, I en II)."
13,h-tk-20072008-2932-2933,QzE41idY1O,/div[2]/div[20]/p[1]/text()[1],/div[2]/div[20]/p[1]/text()[1],"stuk nrs. 17, I en II",explicit-parl-doc,kst-31226-17,https://zoek.officielebekendmakingen.nl/kst-31226-17.html,Amendement,,4294,4315,"In stemming komt het wetsvoorstel, zoals op onderdelen gewijzigd door de aanneming van de nader gewijzigde amendementen-Hamer/Omtzigt (stuk nrs. 33, I en II), de gewijzigde amendementen-Omtzigt/Hamer (stuk nrs. 32, I en II), de gewijzigde amendementen-Omtzigt/Hamer (stuk nrs. 24, I tot en met VI) en de gewijzigde amendementen-Omtzigt/Hamer (stuk nrs. 17, I en II).","In stemming komt het wetsvoorstel, zoals op onderdelen gewijzigd door
de aanneming van de nader gewijzigde amendementen-Hamer/Omtzigt (stuk nrs.
33, I en II), de gewijzigde amendementen-Omtzigt/Hamer (stuk nrs. 32, I en
II), de gewijzigde amendementen-Omtzigt/Hamer (stuk nrs. 24, I tot en met
VI) en de gewijzigde amendementen-Omtzigt/Hamer (stuk nrs. 17, I en II)."
13,h-tk-20072008-2932-2933,84hxRlq2Av,/div[2]/div[21]/p[2]/text()[1],/div[2]/div[21]/p[2]/text()[1],dit wetsvoorstel,impl-local,31226,,,8vDXtOfYbE,4349,4365,Ik constateer dat dit wetsvoorstel met algemene stemmen is aangenomen.,Ik constateer dat dit wetsvoorstel met algemene stemmen is aangenomen.
13,h-tk-20072008-2932-2933,onXDIHSYnG,/div[2]/div[22]/p[1]/text()[1],/div[2]/div[22]/p[1]/text()[1],"31226, nr. 27",explicit-parl-doc,kst-31226-27, https://zoek.officielebekendmakingen.nl/kst-31226-27.html,Motie,,4436,4449,"In stemming komt de motie-Luijben (31226, nr. 27).","In stemming komt de motie-Luijben (31226, nr. 27)."
13,h-tk-20072008-2932-2933,bJ7SwrcXoK,/div[2]/div[23]/p[2]/text()[1],/div[2]/div[23]/p[2]/text()[1],deze motie,impl-local,31226-27,,,onXDIHSYnG,4556,4566,"Ik constateer dat de aanwezige leden van de fracties van de SP, GroenLinks en de PvdD voor deze motie hebben gestemd en de aanwezige leden van de overige fracties ertegen, zodat zij is verworpen.","Ik constateer dat de aanwezige leden van de fracties van de SP, GroenLinks
en de PvdD voor deze motie hebben gestemd en de aanwezige leden van de overige
fracties ertegen, zodat zij is verworpen."
13,h-tk-20072008-2932-2933,67nByGJP2O,/div[2]/div[23]/p[2]/text()[1],/div[2]/div[23]/p[2]/text()[1],zij,impl-local,31226-27,,,onXDIHSYnG,4643,4646,"Ik constateer dat de aanwezige leden van de fracties van de SP, GroenLinks en de PvdD voor deze motie hebben gestemd en de aanwezige leden van de overige fracties ertegen, zodat zij is verworpen.","Ik constateer dat de aanwezige leden van de fracties van de SP, GroenLinks
en de PvdD voor deze motie hebben gestemd en de aanwezige leden van de overige
fracties ertegen, zodat zij is verworpen."
13,h-tk-20072008-2932-2933,UmPcILeGaL,/div[2]/div[24]/p[1]/text()[1],/div[2]/div[24]/p[1]/text()[1],"31226, nr. 28",explicit-parl-doc,kst-31226-28,  https://zoek.officielebekendmakingen.nl/kst-31226-28.html,Motie,,4695,4708,"In stemming komt de motie-Luijben (31226, nr. 28).","In stemming komt de motie-Luijben (31226, nr. 28)."
13,h-tk-20072008-2932-2933,e8_kgVwXoM,/div[2]/div[25]/p[2]/text()[1],/div[2]/div[25]/p[2]/text()[1],deze motie,impl-local,31226-28,,,UmPcILeGaL,4815,4825,"Ik constateer dat de aanwezige leden van de fracties van de SP, GroenLinks en de PvdD voor deze motie hebben gestemd en de aanwezige leden van de overige fracties ertegen, zodat zij is verworpen.","Ik constateer dat de aanwezige leden van de fracties van de SP, GroenLinks
en de PvdD voor deze motie hebben gestemd en de aanwezige leden van de overige
fracties ertegen, zodat zij is verworpen."
13,h-tk-20072008-2932-2933,WgRsm6cA_A,/div[2]/div[25]/p[2]/text()[1],/div[2]/div[25]/p[2]/text()[1],zij,impl-local,31226-28,,,UmPcILeGaL,4902,4905,"Ik constateer dat de aanwezige leden van de fracties van de SP, GroenLinks en de PvdD voor deze motie hebben gestemd en de aanwezige leden van de overige fracties ertegen, zodat zij is verworpen.","Ik constateer dat de aanwezige leden van de fracties van de SP, GroenLinks
en de PvdD voor deze motie hebben gestemd en de aanwezige leden van de overige
fracties ertegen, zodat zij is verworpen."
13,h-tk-20072008-2932-2933,qAJDhvWuKn,/div[2]/div[26]/p[1]/text()[1],/div[2]/div[26]/p[1]/text()[1],"31226, nr. 29",explicit-parl-doc,kst-31226-29,  https://zoek.officielebekendmakingen.nl/kst-31226-29.html,Motie,,4960,4973,"In stemming komt de motie-Omtzigt/Hamer (31226, nr. 29).","In stemming komt de motie-Omtzigt/Hamer (31226, nr. 29)."
13,h-tk-20072008-2932-2933,O-V9EnUZyD,/div[2]/div[27]/p[2]/text()[1],/div[2]/div[27]/p[2]/text()[1],deze motie,impl-local,31226-29,,,qAJDhvWuKn,5007,5017,Ik constateer dat deze motie met algemene stemmen is aangenomen.,Ik constateer dat deze motie met algemene stemmen is aangenomen.
