#,minute_id,reference_text,reference_number,reasoning,TP
35,h-tk-20012002-4369-4373,het verslag van het algemeen overleg over de UMTS-veiling,,"This reference is about the report of a general consultation (algemeen overleg) on the UMTS auction, indicating a specific parliamentary discussion or document.",0
36,h-tk-20012002-4369-4373,het voornemen van de ministers Zalm en Hermans om bedrijven te gaan betrekken bij het wegwerken van het lokalentekort in het basisonderwijs en voortgezet onderwijs,,"This reference is about the intention of Ministers Zalm and Hermans to involve companies in addressing the classroom shortage in primary and secondary education, indicating a specific governmental plan or document.",1
37,h-tk-20012002-4369-4373,"de brief van de minister-president van Marokko aan onze minister-president, waarin de bereidheid is uitgesproken een verdrag af te sluiten met Nederland vóór 1 juli; het betreft het socialezekerheidsverdrag",,"This reference is about a letter from the Prime Minister of Morocco to the Dutch Prime Minister expressing willingness to conclude a social security treaty with the Netherlands before July 1, indicating a specific diplomatic communication.",1
38,h-tk-20012002-4369-4373,het verslag bij het wetsvoorstel,,"This reference is about the report accompanying a legislative proposal (wetsvoorstel), indicating a specific parliamentary document.",0
39,h-tk-20012002-4369-4373,"de situatie in het Midden-Oosten, over Israël en Palestina",,"This reference is about the situation in the Middle East, specifically concerning Israel and Palestine, indicating a specific geopolitical issue discussed in parliament.",0
40,h-tk-20012002-4369-4373,het Srebrenicarapport,,"This reference is about the Srebrenica report, indicating a specific document or report related to the events in Srebrenica.",0
41,h-tk-20012002-4369-4373,de vergadering van de ministers van Buitenlandse Zaken van de EU,,"This reference is about a meeting of the EU Foreign Ministers, indicating a specific diplomatic event or document.",0
42,h-tk-20012002-4369-4373,het rapport van de Algemene Rekenkamer in het kader van de ondernemende samenleving,,"This reference is about a report by the Algemene Rekenkamer (Court of Audit) concerning the entrepreneurial society, indicating a specific audit report or document.",1
48,h-tk-20072008-2932-2933,"het amendement-Blok (stuk nr. 12, I)","stuk nr. 12, I","This is a reference to a specific amendment proposed by MP Blok, identified by its document number 12, part I.",1
49,h-tk-20072008-2932-2933,"het nader gewijzigde amendement-Hamer/Omtzigt (stuk nr. 33, I)","stuk nr. 33, I","This is a reference to a specific further amended amendment proposed by MPs Hamer and Omtzigt, identified by its document number 33, part I.",1
50,h-tk-20072008-2932-2933,het amendement-Luijben (stuk nr. 20),stuk nr. 20,"This is a reference to a specific amendment proposed by MP Luijben, identified by its document number 20.",1
51,h-tk-20072008-2932-2933,het amendement-Blok (stuk nr. 5),stuk nr. 5,"This is a reference to a specific amendment proposed by MP Blok, identified by its document number 5.",1
52,h-tk-20072008-2932-2933,"het amendement-Luijben (stuk nr. 16, I)","stuk nr. 16, I","This is a reference to a specific amendment proposed by MP Luijben, identified by its document number 16, part I.",1
53,h-tk-20072008-2932-2933,"het gewijzigde amendement-Blok (stuk nr. 31, I)","stuk nr. 31, I","This is a reference to a specific amended amendment proposed by MP Blok, identified by its document number 31, part I.",1
54,h-tk-20072008-2932-2933,"het gewijzigde amendement-Omtzigt/Hamer (stuk nr. 32, I)","stuk nr. 32, I","This is a reference to a specific amended amendment proposed by MPs Omtzigt and Hamer, identified by its document number 32, part I.",1
55,h-tk-20072008-2932-2933,"het gewijzigde amendement-Omtzigt/Hamer (stuk nr. 24, I)","stuk nr. 24, I","This is a reference to a specific amended amendment proposed by MPs Omtzigt and Hamer, identified by its document number 24, part I.",1
56,h-tk-20072008-2932-2933,"het amendement-Omtzigt/Hamer (stuk nr. 17, I)","stuk nr. 17, I","This is a reference to a specific amendment proposed by MPs Omtzigt and Hamer, identified by its document number 17, part I.",1
